Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MFN2	"CMT2A2, CPRP1, KIAA0214, MARF"	ENSG00000116688	"Mitofusin 2"	O95140	1	11980181-12015211	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Autophagy, Unfolded protein response"	Hydrolase	"Charcot-Marie-Tooth disease, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 270.4;skeletal muscle: 310.5;tongue: 337.6"	"Cell type enriched"	"Detected in all"	6	"Cardiomyocytes: 404.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Smooth muscle cells, Prostate - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030554, CAB079902"	Uncertain		Supported	Mitochondria		NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 38: Non-specific - mRNA processing"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"CAB079902: AB_2724683, HPA030554: AB_10603018"	"unprognostic (9.52e-2)"	"unprognostic (1.80e-1)"	"unprognostic (1.42e-1)"	"unprognostic (4.38e-2)"	"unprognostic (8.36e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.89e-1)"	"unprognostic (2.44e-1)"	"unprognostic (3.45e-1)"	"unprognostic (2.19e-2)"	"unprognostic (1.43e-1)"	"unprognostic (3.55e-1)"	"prognostic favorable (2.36e-8)"	"unprognostic (4.69e-2)"	"unprognostic (2.76e-1)"	"unprognostic (8.84e-3)"	"unprognostic (2.12e-1)"
MPC1	"BRP44L, CGI-129, dJ68L15.3, SLC54A1"	ENSG00000060762	"Mitochondrial pyruvate carrier 1"	Q9Y5U8	6	166364919-166383013	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 739.7;tongue: 559.2"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 1280.7;Distal tubular cells: 1296.8;Proximal tubular cells: 522.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Stomach - Parietal cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045119, HPA055790"	Enhanced		Enhanced	Mitochondria		NA	NA			"Cluster 51: Monocytes - Innate immune response"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 15: Non-specific - Protein binding"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA045119: AB_10960421, HPA055790: AB_2682923"	"unprognostic (3.30e-2)"	"prognostic favorable (1.45e-4)"	"unprognostic (5.24e-3)"	"unprognostic (1.68e-1)"	"unprognostic (3.17e-2)"	"unprognostic (2.85e-2)"	"unprognostic (7.61e-2)"	"prognostic favorable (1.29e-4)"	"unprognostic (3.27e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.11e-3)"	"unprognostic (5.64e-2)"	"prognostic favorable (4.79e-11)"	"unprognostic (4.13e-2)"	"unprognostic (1.03e-1)"	"unprognostic (7.48e-2)"	"unprognostic (8.45e-2)"
MPP3	DLG3	ENSG00000161647	"Membrane palmitoylated protein 3"	Q13368	17	43800799-43833170	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 10.2;heart muscle: 11.8"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 24.1;Cardiomyocytes: 26.9;Late spermatids: 84.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021818, HPA024742"	Uncertain		Approved	Nucleoplasm,Cytosol		NA	NA				"Cluster 57: Non-specific - Angiogenesis"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 36: Spermatids - Spermatogenesis"	"Nucleoplasm, Cytosol"		"HPA021818: AB_1854086, HPA024742: AB_1854087"	"unprognostic (1.94e-1)"	"unprognostic (1.38e-1)"	"unprognostic (2.30e-2)"	"unprognostic (2.23e-5)"	"unprognostic (4.59e-3)"	"unprognostic (5.63e-2)"	"unprognostic (5.07e-6)"	"unprognostic (2.01e-1)"	"unprognostic (1.03e-2)"	"unprognostic (3.43e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.84e-3)"	"unprognostic (8.02e-11)"	"unprognostic (9.98e-3)"	"unprognostic (1.50e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.75e-2)"
MRAS	"M-RAs, R-RAS3, RRAS3"	ENSG00000158186	"Muscle RAS oncogene homolog"	O14807	3	138347648-138405534	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 202.3;heart muscle: 132.9"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 133.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"non-classical monocyte: 25.0"	"Lineage enriched"	"Detected in many"	9	"monocytes: 25.0"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042728	Approved		Approved	Vesicles,Cytosol		NA	NA			"Cluster 14: Monocytes - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 15: Smooth muscle cells - Muscle contraction"	Cytosol	Vesicles	"HPA042728: AB_10796582"	"unprognostic (1.96e-1)"	"unprognostic (2.95e-1)"	"unprognostic (1.63e-3)"	"prognostic unfavorable (1.73e-4)"	"unprognostic (1.69e-1)"	"unprognostic (5.32e-2)"	"unprognostic (8.96e-2)"	"unprognostic (3.85e-3)"	"unprognostic (1.70e-1)"	"unprognostic (1.86e-1)"	"unprognostic (1.71e-1)"	"unprognostic (2.59e-1)"	"unprognostic (3.18e-3)"	"unprognostic (1.78e-2)"	"unprognostic (6.25e-2)"	"unprognostic (2.21e-1)"	"unprognostic (4.23e-2)"
MT-ATP6	"ATP6, ATPase-6, MTATP6, RP, Su6m"	ENSG00000198899	"Mitochondrially encoded ATP synthase membrane subunit 6"	P00846	MT	8527-9207	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"ATP synthesis, Hydrogen ion transport, Ion transport, Transport"		"Cardiomyopathy, Disease variant, Leber hereditary optic neuropathy, Leigh syndrome, Neuropathy, Primary mitochondrial disease, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 240231.8"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 68183.5;Cardiomyocytes: 49112.5;Cone photoreceptor cells: 42181.9;Horizontal cells: 36532.8;Rod photoreceptor cells: 54767.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 15099.8"	"Lineage enriched"	"Detected in all"	6	"granulocytes: 15099.8"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 9: Neurons - Nervous system development"				"unprognostic (2.97e-1)"	"unprognostic (4.16e-1)"	"unprognostic (1.86e-2)"	"unprognostic (4.55e-2)"	"unprognostic (8.45e-3)"	"unprognostic (1.66e-1)"	"prognostic favorable (3.79e-4)"	"unprognostic (6.47e-2)"	"unprognostic (2.39e-1)"	"unprognostic (1.44e-2)"	"prognostic favorable (7.64e-4)"	"unprognostic (6.01e-2)"	"unprognostic (4.64e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.37e-1)"	"unprognostic (3.56e-1)"	"unprognostic (2.52e-3)"
MT-ATP8	"A6L, ATP8, MTATP8"	ENSG00000228253	"Mitochondrially encoded ATP synthase membrane subunit 8"	P03928	MT	8366-8572	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"ATP synthesis, Hydrogen ion transport, Ion transport, Transport"		"Cardiomyopathy, Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 350376.1"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 2595.9;Cardiomyocytes: 10320.6;Gastric mucus-secreting cells: 2250.1;Squamous epithelial cells: 1920.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	5	"basophil: 10572.1"	"Lineage enriched"	"Detected in all"	6	"granulocytes: 10572.1"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (1.54e-1)"	"unprognostic (4.12e-2)"	"unprognostic (3.95e-2)"	"unprognostic (2.56e-1)"	"unprognostic (3.07e-2)"	"unprognostic (1.17e-1)"	"prognostic favorable (7.56e-5)"	"unprognostic (5.17e-2)"	"unprognostic (6.61e-2)"	"unprognostic (2.52e-3)"	"unprognostic (8.26e-2)"	"unprognostic (1.30e-2)"	"unprognostic (1.10e-1)"	"unprognostic (1.31e-1)"	"unprognostic (2.76e-1)"	"unprognostic (2.62e-1)"	"unprognostic (1.63e-2)"
MT-CO1	"COI, COX1, MTCO1"	ENSG00000198804	"Mitochondrially encoded cytochrome c oxidase I"	P00395	MT	5904-7445	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Electron transport, Respiratory chain, Transport"	Translocase	"Deafness, Disease variant, Leber hereditary optic neuropathy, Non-syndromic deafness, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 222644.8;heart muscle: 255389.3"	"Cell type enhanced"	"Detected in all"		"Proximal enterocytes: 67670.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB016241, HPA069328"	Enhanced		Supported	Mitochondria		NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"CAB016241: AB_2229888, HPA069328: AB_2686122"	"unprognostic (4.39e-1)"	"unprognostic (2.45e-1)"	"unprognostic (1.39e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.59e-1)"	"unprognostic (3.31e-1)"	"prognostic favorable (2.29e-4)"	"unprognostic (8.28e-2)"	"unprognostic (1.01e-1)"	"unprognostic (5.56e-3)"	"unprognostic (1.20e-2)"	"unprognostic (6.60e-2)"	"unprognostic (2.83e-2)"	"unprognostic (5.06e-3)"	"unprognostic (4.50e-2)"	"unprognostic (2.15e-2)"	"unprognostic (2.44e-2)"
MT-CO2	"CO2, COX2, MTCO2"	ENSG00000198712	"Mitochondrially encoded cytochrome c oxidase II"	P00403	MT	7586-8269	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 164780.5;heart muscle: 210840.8"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 78921.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB016243, HPA051505, HPA054758"	Enhanced					NA	NA		240000	"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"CAB016243: AB_2066366, HPA051505: AB_2681511, HPA054758: AB_2682595"	"unprognostic (2.67e-1)"	"unprognostic (5.72e-2)"	"unprognostic (4.57e-2)"	"unprognostic (5.31e-2)"	"unprognostic (2.77e-2)"	"unprognostic (1.96e-2)"	"prognostic favorable (2.89e-4)"	"unprognostic (1.06e-1)"	"unprognostic (3.39e-1)"	"unprognostic (2.72e-3)"	"prognostic favorable (7.10e-4)"	"unprognostic (1.25e-1)"	"unprognostic (9.30e-2)"	"unprognostic (3.05e-1)"	"unprognostic (1.70e-1)"	"unprognostic (9.50e-2)"	"unprognostic (3.72e-3)"
MT-CO3	"CO3, COIII, COX3, MTCO3"	ENSG00000198938	"Mitochondrially encoded cytochrome c oxidase III"	P00414	MT	9207-9990	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"		Translocase	"Disease variant, Leber hereditary optic neuropathy, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 189825.4;heart muscle: 231090.6"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 84798.7;Horizontal cells: 59830.8;Rod photoreceptor cells: 57689.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042788	Approved					NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 9: Neurons - Nervous system development"			"HPA042788: AB_10793985"	"unprognostic (2.38e-1)"	"unprognostic (5.24e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.88e-1)"	"unprognostic (3.04e-1)"	"unprognostic (2.93e-1)"	"prognostic favorable (2.01e-4)"	"unprognostic (1.18e-1)"	"unprognostic (1.45e-2)"	"unprognostic (1.05e-2)"	"prognostic favorable (1.04e-4)"	"unprognostic (1.05e-1)"	"unprognostic (8.80e-3)"	"unprognostic (2.75e-2)"	"unprognostic (1.20e-1)"	"unprognostic (9.29e-2)"	"unprognostic (1.33e-2)"
MT-CYB	"COB, CYTB, MTCYB, UQCR3"	ENSG00000198727	"Mitochondrially encoded cytochrome b"	P00156	MT	14747-15887	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"		"Cardiomyopathy, Cataract, Deafness, Disease variant, Leber hereditary optic neuropathy, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 130283.4"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 61574.2;Cardiomyocytes: 60359.4;Rod photoreceptor cells: 38637.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB032215, HPA068400, HPA074796"	Approved		Supported	Mitochondria		NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"CAB032215: AB_2261378, HPA068400: AB_2685982, HPA074796: "	"unprognostic (4.50e-1)"	"unprognostic (2.56e-1)"	"unprognostic (9.12e-2)"	"unprognostic (3.88e-2)"	"unprognostic (9.22e-2)"	"unprognostic (3.50e-1)"	"prognostic favorable (5.96e-4)"	"unprognostic (1.63e-2)"	"unprognostic (8.53e-2)"	"unprognostic (1.49e-2)"	"unprognostic (1.01e-3)"	"unprognostic (6.09e-2)"	"unprognostic (1.40e-1)"	"unprognostic (7.90e-3)"	"unprognostic (3.07e-1)"	"unprognostic (4.09e-2)"	"unprognostic (1.54e-2)"
MT-ND1	"MTND1, NAD1, ND1"	ENSG00000198888	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"	P03886	MT	3307-4262	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Alzheimer disease, Amyloidosis, Diabetes mellitus, Disease variant, Epilepsy, FDA approved drug targets, Leber hereditary optic neuropathy, MELAS syndrome, Neurodegeneration, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 111350.7;heart muscle: 127951.9"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 21963.9;Cardiomyocytes: 30786.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 9432.2"	"Lineage enriched"	"Detected in all"	7	"granulocytes: 9432.2"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033779, HPA066847"	Approved					NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"CAB033779: AB_2149736, HPA066847: "	"prognostic favorable (3.63e-4)"	"unprognostic (3.55e-1)"	"unprognostic (3.77e-2)"	"unprognostic (3.65e-1)"	"unprognostic (3.50e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.95e-3)"	"unprognostic (5.84e-2)"	"unprognostic (1.06e-1)"	"unprognostic (5.05e-2)"	"prognostic favorable (3.26e-4)"	"unprognostic (8.67e-2)"	"unprognostic (8.66e-2)"	"unprognostic (3.24e-2)"	"unprognostic (1.42e-2)"	"unprognostic (3.99e-2)"	"unprognostic (2.85e-2)"
MT-ND2	"MTND2, NAD2, ND2"	ENSG00000198763	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"	P03891	MT	4470-5511	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Alzheimer disease, Amyloidosis, Disease variant, Leber hereditary optic neuropathy, Leigh syndrome, Neurodegeneration, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 101525.8;heart muscle: 130517.4"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 33265.3;Proximal enterocytes: 18614.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	6	"basophil: 16754.8"	"Lineage enriched"	"Detected in all"	10	"granulocytes: 16754.8"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (5.82e-3)"	"unprognostic (1.58e-2)"	"unprognostic (1.53e-2)"	"unprognostic (1.36e-1)"	"unprognostic (4.77e-1)"	"unprognostic (4.79e-2)"	"unprognostic (9.56e-3)"	"unprognostic (3.74e-2)"	"unprognostic (2.18e-1)"	"unprognostic (3.38e-3)"	"unprognostic (4.55e-3)"	"unprognostic (3.79e-2)"	"unprognostic (4.35e-2)"	"unprognostic (3.94e-2)"	"unprognostic (2.11e-1)"	"unprognostic (5.92e-2)"	"unprognostic (4.35e-2)"
MT-ND3	"MTND3, NAD3, ND3"	ENSG00000198840	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3"	P03897	MT	10059-10404	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Leigh syndrome, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 184151.1"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 23877.6;Cardiomyocytes: 24734.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA063296	Enhanced		Uncertain	Cytosol		NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 17: Granulosa cells - Transcription regulation"	Cytosol		"HPA063296: AB_2684978"	"unprognostic (1.71e-2)"	"unprognostic (1.05e-1)"	"unprognostic (8.10e-2)"	"unprognostic (3.07e-1)"	"unprognostic (2.48e-1)"	"unprognostic (1.36e-1)"	"prognostic favorable (4.63e-5)"	"unprognostic (2.45e-2)"	"unprognostic (7.13e-2)"	"unprognostic (8.85e-2)"	"unprognostic (1.76e-3)"	"unprognostic (1.74e-1)"	"unprognostic (7.63e-2)"	"unprognostic (2.51e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.07e-1)"	"unprognostic (5.65e-3)"
MT-ND4	"LHON, MTND4, NAD4, ND4"	ENSG00000198886	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"	P03905	MT	10760-12137	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Dystonia, Leber hereditary optic neuropathy, MELAS syndrome, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 196536.0"	"Cell type enhanced"	"Detected in all"		"Bipolar cells: 58448.2;Cardiomyocytes: 106696.0;Rod photoreceptor cells: 47132.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 13456.8"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA053928	Approved		Supported	Mitochondria		NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA053928: AB_2682313"	"unprognostic (8.39e-2)"	"unprognostic (1.83e-1)"	"unprognostic (7.29e-2)"	"unprognostic (9.54e-2)"	"unprognostic (5.41e-2)"	"unprognostic (3.78e-2)"	"unprognostic (2.50e-3)"	"unprognostic (8.16e-2)"	"unprognostic (1.45e-1)"	"prognostic favorable (1.76e-4)"	"unprognostic (1.01e-2)"	"unprognostic (7.23e-2)"	"unprognostic (2.79e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.43e-1)"	"unprognostic (3.14e-2)"	"unprognostic (4.24e-2)"
